Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
740907.0,375.0,,,,,105.0,,,,17.6,
176657.0,375.0,,,,,305.0,,,,29.5,
823299.0,365.0,,,,,203.0,,,,6.9,
168518.0,365.0,,,,,107.0,,,,14.3,
170406.0,365.0,,,,,107.0,,,,10.4,
175889.0,375.0,,,,,204.0,,,,19.5,
175984.0,375.0,,,,,304.0,,,,25.8,
412490.0,375.0,,,,,304.0,,,,26.4,
740956.0,375.0,,,,,304.0,,,,22.8,
740944.0,375.0,,,,,211.0,,,,24.1,
412491.0,375.0,,,,,304.0,,,,19.1,
412457.0,375.0,,,,,204.0,,,,23.3,
176057.0,375.0,,,,,204.0,,,,16.6,
176530.0,375.0,,,,,304.0,,,,32.0,
176614.0,375.0,,,,,304.0,,,,29.3,
212433.0,375.0,,,,,211.0,,,,17.0,
336499.0,375.0,,,,,104.0,,,,19.4,
643371.0,375.0,,,,,211.0,,,,25.3,
336553.0,375.0,,,,,304.0,,,,23.9,
667117.0,375.0,,,,,204.0,,,,15.7,
167623.0,375.0,,,,,414.0,,,,14.0,
518919.0,648.0,,,,,404.0,,,,13.4,
131442.0,648.0,,,,,404.0,,,,22.1,
169309.0,365.0,,,,,307.0,,,,11.5,
168542.0,365.0,,,,,307.0,,,,13.6,
547690.0,365.0,,,,,307.0,,,,8.2,
649714.0,365.0,,,,,211.0,,,,7.5,
605716.0,365.0,,,,,211.0,,,,9.4,
605758.0,365.0,,,,,404.0,,,,7.6,
177142.0,365.0,,,,,104.0,,,,13.3,
165981.0,375.0,,,,,107.0,,,,30.6,
167574.0,375.0,,,,,107.0,,,,28.6,
166030.0,375.0,,,,,414.0,,,,18.8,
213430.0,375.0,,,,,307.0,,,,15.3,
167682.0,375.0,,,,,414.0,,,,14.2,
167564.0,375.0,,,,,414.0,,,,14.6,
179804.0,640.0,,,,,306.0,,,,36.4,
179789.0,640.0,,,,,202.0,,,,1.2,
823301.0,365.0,,,,,202.0,,,,6.9,
178548.0,365.0,,,,,306.0,,,,12.4,
823322.0,365.0,,,,,102.0,,,,7.1,
823302.0,365.0,,,,,202.0,,,,7.4,
742187.0,365.0,,,,,202.0,,,,9.1,
177956.0,365.0,,,,,302.0,,,,10.8,
177938.0,365.0,,,,,102.0,,,,10.2,
178568.0,365.0,,,,,102.0,,,,8.7,
177224.0,365.0,,,,,102.0,,,,13.4,
130416.0,640.0,,,,,302.0,,,,15.7,
130398.0,640.0,,,,,102.0,,,,2.2,
177812.0,365.0,,,,,102.0,,,,11.8,
410738.0,365.0,,,,,102.0,,,,8.3,
823323.0,365.0,,,,,102.0,,,,7.3,
823257.0,365.0,,,,,306.0,,,,9.3,
177903.0,365.0,,,,,202.0,,,,11.1,
605732.0,365.0,,,,,306.0,,,,10.0,
176696.0,375.0,,,,,302.0,,,,25.4,
740964.0,375.0,,,,,306.0,,,,23.3,
549764.0,375.0,,,,,102.0,,,,18.9,
740919.0,375.0,,,,,202.0,,,,18.8,
825727.0,375.0,,,,,306.0,,,,19.5,
410794.0,365.0,,,,,302.0,,,,8.0,
177945.0,365.0,,,,,202.0,,,,11.0,
605720.0,365.0,,,,,302.0,,,,7.5,
212817.0,365.0,,,,,306.0,,,,11.8,
825793.0,375.0,,,,,102.0,,,,11.6,
176643.0,375.0,,,,,202.0,,,,24.0,
825697.0,375.0,,,,,406.0,,,,10.6,
740963.0,375.0,,,,,306.0,,,,20.2,
825774.0,375.0,,,,,201.0,,,,18.4,
166913.0,375.0,,,,,412.0,,,,16.7,
166854.0,375.0,,,,,412.0,,,,16.3,
603092.0,375.0,,,,,412.0,,,,17.7,
741284.0,375.0,,,,,412.0,,,,10.5,
166883.0,375.0,,,,,212.0,,,,13.8,
166824.0,375.0,,,,,212.0,,,,15.7,
166881.0,375.0,,,,,210.0,,,,13.6,
166822.0,375.0,,,,,210.0,,,,15.3,
412813.0,375.0,,,,,410.0,,,,17.2,
741188.0,375.0,,,,,210.0,,,,11.8,
603002.0,375.0,,,,,212.0,,,,15.8,
166675.0,375.0,,,,,410.0,,,,17.7,
165908.0,375.0,,,,,410.0,,,,28.7,
167796.0,375.0,,,,,410.0,,,,19.0,
550145.0,375.0,,,,,410.0,,,,17.4,
741279.0,375.0,,,,,410.0,,,,14.6,
741225.0,375.0,,,,,310.0,,,,16.4,
165868.0,375.0,,,,,112.0,,,,30.0,
166635.0,375.0,,,,,112.0,,,,25.0,
167756.0,375.0,,,,,112.0,,,,22.3,
166795.0,375.0,,,,,412.0,,,,17.3,
166736.0,375.0,,,,,412.0,,,,18.0,
741283.0,375.0,,,,,412.0,,,,20.9,
166763.0,375.0,,,,,210.0,,,,16.2,
166704.0,375.0,,,,,210.0,,,,16.7,
412811.0,375.0,,,,,410.0,,,,22.5,
741187.0,375.0,,,,,210.0,,,,18.9,
741277.0,375.0,,,,,410.0,,,,21.1,
412818.0,375.0,,,,,412.0,,,,13.2,
169540.0,365.0,,,,,302.0,,,,11.0,
169481.0,365.0,,,,,302.0,,,,11.1,
334257.0,365.0,,,,,301.0,,,,10.9,
334188.0,365.0,,,,,102.0,,,,11.1,
334221.0,365.0,,,,,201.0,,,,10.8,
175957.0,375.0,,,,,409.0,,,,16.2,
175999.0,375.0,,,,,409.0,,,,15.3,
412475.0,375.0,,,,,210.0,,,,21.3,
175958.0,375.0,,,,,410.0,,,,10.1,
176000.0,375.0,,,,,410.0,,,,9.9,
412535.0,375.0,,,,,409.0,,,,21.1,
412536.0,375.0,,,,,409.0,,,,12.1,
741001.0,375.0,,,,,409.0,,,,19.8,
412472.0,375.0,,,,,209.0,,,,22.7,
412538.0,375.0,,,,,410.0,,,,18.0,
176609.0,375.0,,,,,210.0,,,,19.0,
176598.0,375.0,,,,,106.0,,,,26.7,
212421.0,375.0,,,,,106.0,,,,18.3,
176524.0,375.0,,,,,209.0,,,,22.5,
176629.0,375.0,,,,,409.0,,,,19.3,
176545.0,375.0,,,,,409.0,,,,19.9,
176546.0,375.0,,,,,410.0,,,,14.7,
212453.0,375.0,,,,,410.0,,,,7.4,
336794.0,375.0,,,,,301.0,,,,17.0,
667664.0,375.0,,,,,301.0,,,,29.4,
518925.0,648.0,,,,,410.0,,,,57.9,
628473.0,648.0,,,,,409.0,,,,39.5,
131438.0,648.0,,,,,310.0,,,,57.2,
131456.0,648.0,,,,,3.0,,,,144.3,
130823.0,648.0,,,,,409.0,,,,73.8,
518904.0,648.0,,,,,210.0,,,,29.4,
410824.0,365.0,,,,,402.0,,,,8.1,
823239.0,365.0,,,,,402.0,,,,7.1,
174271.0,365.0,,,,,410.0,,,,7.6,
547573.0,365.0,,,,,410.0,,,,6.3,
825710.0,375.0,,,,,402.0,,,,22.6,
169299.0,365.0,,,,,209.0,,,,10.6,
170420.0,365.0,,,,,209.0,,,,8.9,
169329.0,365.0,,,,,409.0,,,,10.4,
169535.0,365.0,,,,,209.0,,,,10.4,
605954.0,365.0,,,,,209.0,,,,7.1,
823178.0,365.0,,,,,209.0,,,,7.3,
605960.0,365.0,,,,,211.0,,,,7.1,
169506.0,365.0,,,,,409.0,,,,10.1,
169565.0,365.0,,,,,409.0,,,,10.1,
606050.0,365.0,,,,,411.0,,,,6.5,
823551.0,365.0,,,,,409.0,,,,6.8,
170450.0,365.0,,,,,409.0,,,,8.4,
334335.0,365.0,,,,,409.0,,,,8.8,
176538.0,375.0,,,,,402.0,,,,25.8,
176622.0,375.0,,,,,402.0,,,,25.0,
667832.0,375.0,,,,,411.0,,,,20.3,
167618.0,375.0,,,,,409.0,,,,22.8,
643706.0,375.0,,,,,411.0,,,,12.7,
334341.0,365.0,,,,,411.0,,,,8.8,
168520.0,365.0,,,,,109.0,,,,14.5,
170408.0,365.0,,,,,109.0,,,,9.8,
170410.0,365.0,,,,,111.0,,,,9.7,
334251.0,365.0,,,,,211.0,,,,9.9,
742491.0,365.0,,,,,309.0,,,,6.5,
336872.0,375.0,,,,,409.0,,,,14.4,
667820.0,375.0,,,,,409.0,,,,24.7,
176024.0,375.0,,,,,302.0,,,,21.8,
176066.0,375.0,,,,,302.0,,,,21.5,
602771.0,375.0,,,,,306.0,,,,27.6,
412432.0,375.0,,,,,102.0,,,,17.5,
825794.0,375.0,,,,,102.0,,,,21.3,
176013.0,375.0,,,,,202.0,,,,20.2,
602801.0,375.0,,,,,406.0,,,,17.3,
168540.0,365.0,,,,,305.0,,,,12.3,
169307.0,365.0,,,,,305.0,,,,10.7,
605978.0,365.0,,,,,305.0,,,,7.0,
823485.0,365.0,,,,,305.0,,,,6.7,
169460.0,365.0,,,,,105.0,,,,14.8,
823212.0,365.0,,,,,105.0,,,,10.1,
334269.0,365.0,,,,,305.0,,,,9.1,
336549.0,375.0,,,,,302.0,,,,26.7,
175971.0,375.0,,,,,202.0,,,,22.2,
412452.0,375.0,,,,,202.0,,,,17.3,
175982.0,375.0,,,,,302.0,,,,23.9,
175940.0,375.0,,,,,302.0,,,,25.5,
175922.0,375.0,,,,,102.0,,,,17.9,
175986.0,375.0,,,,,306.0,,,,34.6,
412497.0,375.0,,,,,306.0,,,,25.0,
176028.0,375.0,,,,,306.0,,,,32.9,
602759.0,375.0,,,,,302.0,,,,21.7,
212424.0,375.0,,,,,202.0,,,,17.8,
176612.0,375.0,,,,,302.0,,,,28.2,
212439.0,375.0,,,,,306.0,,,,28.4,
336559.0,375.0,,,,,306.0,,,,29.2,
628460.0,648.0,,,,,306.0,,,,53.6,
131434.0,648.0,,,,,306.0,,,,88.6,
131419.0,648.0,,,,,202.0,,,,89.1,
212692.0,365.0,,,,,307.0,,,,16.4,
643595.0,375.0,,,,,204.0,,,,15.4,
667610.0,375.0,,,,,204.0,,,,25.8,
643683.0,375.0,,,,,403.0,,,,23.3,
336802.0,375.0,,,,,304.0,,,,20.3,
667681.0,375.0,,,,,304.0,,,,17.5,
166669.0,375.0,,,,,404.0,,,,23.0,
165883.0,375.0,,,,,303.0,,,,32.7,
741204.0,375.0,,,,,303.0,,,,17.9,
741033.0,375.0,,,,,201.0,,,,20.6,
171642.0,375.0,,,,,301.0,,,,30.5,
549902.0,375.0,,,,,202.0,,,,21.1,
172716.0,375.0,,,,,102.0,,,,18.4,
