name,measure,measureInfo,geoTypeName,geoJoinId,geoPlaceName,timePeriod,start_date,dataValue,message
,,,,202.0,,,,21.3,
,,,,304.0,,,,26.5,
,,,,103.0,,,,16.0,
,,,,104.0,,,,27.6,
,,,,302.0,,,,53.39999999999999,
,,,,202.0,,,,43.0,
,,,,306.0,,,,53.39999999999999,
,,,,105.0,,,,13.2,
,,,,306.0,,,,15.8,
,,,,306.0,,,,11.2,
,,,,306.0,,,,10.2,
,,,,302.0,,,,14.6,
,,,,305.0,,,,13.7,
,,,,305.0,,,,21.2,
,,,,105.0,,,,31.5,
,,,,305.0,,,,24.7,
,,,,207.0,,,,18.8,
,,,,407.0,,,,15.1,
,,,,202.0,,,,24.8,
,,,,306.0,,,,39.9,
,,,,306.0,,,,36.3,
,,,,306.0,,,,29.5,
,,,,306.0,,,,36.9,
,,,,306.0,,,,31.9,
,,,,102.0,,,,27.6,
,,,,305.0,,,,17.2,
,,,,305.0,,,,21.0,
,,,,205.0,,,,22.0,
,,,,205.0,,,,18.1,
,,,,305.0,,,,22.1,
,,,,202.0,,,,20.0,
,,,,306.0,,,,44.2,
,,,,306.0,,,,26.0,
,,,,205.0,,,,21.3,
,,,,305.0,,,,13.0,
,,,,209.0,,,,20.2,
,,,,209.0,,,,13.5,
,,,,409.0,,,,10.2,
,,,,402.0,,,,12.0,
,,,,211.0,,,,15.4,
,,,,409.0,,,,28.2,
,,,,411.0,,,,14.5,
,,,,209.0,,,,24.2,
,,,,209.0,,,,16.2,
,,,,402.0,,,,6.2,
,,,,209.0,,,,12.0,
,,,,402.0,,,,11.9,
,,,,109.0,,,,10.8,
,,,,109.0,,,,10.9,
,,,,109.0,,,,7.5,
,,,,111.0,,,,7.4,
,,,,111.0,,,,7.0,
,,,,211.0,,,,7.4,
,,,,309.0,,,,8.4,
,,,,409.0,,,,15.1,
,,,,109.0,,,,29.5,
